bardin_engineer_career_skill_weapon_preview | dr_steam_pistol | ranged | Beardling's Thrundtak | 
bw_1h_crowbill | bw_1h_crowbill | melee | Master's Crowbill | bw_scholar,bw_adept,bw_unchained,bw_necromancer,wh_captain,we_waywatcher,wh_priest,dr_ranger,dr_slayer
bw_1h_crowbill_magic_01 | bw_1h_crowbill | melee | Weave-Forged Crowbill | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_1h_flail_flaming | bw_1h_flail_flaming | melee | Dressad's Roaster | bw_scholar,bw_adept,bw_unchained,bw_necromancer,wh_captain,wh_priest
bw_1h_flail_flaming_magic_01 | bw_1h_flail_flaming | melee | Weave-Forged Incinerator | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_1h_mace | bw_morningstar | melee | Feeble Mace | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_1h_mace_magic_01 | bw_morningstar | melee | Weave-Forged Mace | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_dagger | bw_1h_dagger | melee | Tilean Paperweight | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_dagger_magic_01 | bw_1h_dagger | melee | Weave-Forged Dagger | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_deus_01 | bw_deus_01 | ranged | Enchanter's Coruscation Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_deus_01_magic | bw_deus_01 | ranged | Weave-Forged Coruscation Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_flame_sword | bw_flame_sword | melee | Apprentice's Flame-Sword | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_flame_sword_magic_01 | bw_flame_sword | melee | Weave-Forged Flame-Sword | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_ghost_scythe | bw_ghost_scythe | melee | Vysserik's Verdigrised Vanquisher | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_ghost_scythe_magic_01 | bw_ghost_scythe | melee | Weavebound Ensorcelled Reaper | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_ghost_scythe_skin_magic_01 | bw_ghost_scythe | weapon_skin | Weavebound Ensorcelled Reaper | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_necromancy_staff | bw_necromancy_staff | ranged | Clatterstaff | bw_necromancer
bw_necromancy_staff_magic_01 | bw_necromancy_staff | ranged | Weavebound Soulstealer Staff | bw_necromancer
bw_skullstaff_beam | bw_staff_beam | ranged | Sputtering Beam Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_beam_magic_01 | bw_staff_beam | ranged | Weave-Forged Beam Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_fireball | bw_staff_firball | ranged | Sputtering Fireball Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_fireball_magic_01 | bw_staff_firball | ranged | Weave-Forged Fireball Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_flamethrower | bw_staff_flamethrower | ranged | Sputtering Flamewave Staff | bw_scholar,bw_adept,bw_unchained
bw_skullstaff_flamethrower_magic_01 | bw_staff_flamethrower | ranged | Weave-Forged Flamethrower Staff | bw_scholar,bw_adept,bw_unchained
bw_skullstaff_geiser | bw_staff_geiser | ranged | Sputtering Conflagration Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_geiser_magic_01 | bw_staff_geiser | ranged | Weave-Forged Conflagration Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_spear | bw_staff_spear | ranged | Sputtering Bolt Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_skullstaff_spear_magic_01 | bw_staff_spear | ranged | Weave-Forged Bolt Staff | bw_scholar,bw_adept,bw_unchained,bw_necromancer
bw_sword | bw_1h_sword | melee | Apprentice's Sword | bw_scholar,bw_adept,bw_unchained,bw_necromancer,we_shade,wh_captain,we_waywatcher,wh_priest,dr_ranger,wh_bountyhunter,es_questingknight,dr_slayer
bw_sword_magic_01 | bw_1h_sword | melee | Weave-Forged Sword | bw_scholar,bw_adept,bw_unchained,bw_necromancer
dr_1h_axe | dr_1h_axes | melee | Beardling's Az | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer,we_shade,bw_adept,we_waywatcher,wh_priest,wh_bountyhunter,bw_scholar
dr_1h_axe_magic_01 | dr_1h_axes | melee | Weave-Forged Az | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_1h_hammer | dr_1h_hammer | melee | Beardling's Grund | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer,we_shade,bw_adept,wh_captain,we_waywatcher,wh_priest,wh_bountyhunter,es_questingknight,bw_scholar
dr_1h_hammer_magic_01 | dr_1h_hammer | melee | Weave-Forged Grund | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_1h_throwing_axes | dr_1h_throwing_axes | ranged | Beardling's Azdrek | dr_ranger,dr_engineer,dr_slayer
dr_1h_throwing_axes_magic_01 | dr_1h_throwing_axes | ranged | Weave-Forged Azdrek | dr_slayer,dr_ranger
dr_2h_axe | dr_2h_axes | melee | Beardling's Az-Dreugi | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_2h_axe_magic_01 | dr_2h_axes | melee | Weave-Forged Az-Dreugi | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_2h_cog_hammer | dr_cog_hammer | melee | Beardling's Coggrund | dr_engineer,dr_ranger,dr_ironbreaker,dr_slayer
dr_2h_cog_hammer_magic_01 | dr_cog_hammer | melee | Dromthicoggrund | dr_engineer,dr_ranger,dr_ironbreaker,dr_slayer
dr_2h_hammer | dr_2h_hammer | melee | Beardling's Grundreugi | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_2h_hammer_magic_01 | dr_2h_hammer | melee | Weave-Forged Grundreugi | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_2h_pick | dr_2h_picks | melee | Beardling's Skrundaz | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_2h_pick_magic_01 | dr_2h_picks | melee | Weave-Forged Skrundaz | dr_ironbreaker,dr_slayer,dr_ranger,dr_engineer
dr_crossbow | dr_crossbow | ranged | Beardling's Drekmakaz | dr_ironbreaker,dr_ranger,wh_captain,wh_bountyhunter,dr_engineer,dr_slayer
dr_crossbow_magic_01 | dr_crossbow | ranged | Weave-Forged Drekmakaz | dr_ironbreaker,dr_ranger
dr_deus_01 | dr_deus_01 | ranged | Debgrozthrund Trolldrengi | dr_ironbreaker,dr_engineer,dr_slayer
dr_deus_01_magic | dr_deus_01 | ranged | Weave-Forged Trollhammer Torpedo | dr_ironbreaker,dr_engineer
dr_drake_pistol | dr_drakefire_pistols | ranged | Beardling's Drakktuk | dr_ironbreaker,dr_engineer
dr_drake_pistol_magic_01 | dr_drakefire_pistols | ranged | Weave-Forged Drakktuk | dr_ironbreaker,dr_engineer
dr_drakegun | dr_drakegun | ranged | Beardling's Drakkthrund | dr_ironbreaker,dr_engineer
dr_drakegun_magic_01 | dr_drakegun | ranged | Weave-Forged Drakkthrund | dr_ironbreaker,dr_engineer
