bw_1h_crowbill | melee | Master's Crowbill | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_1h_flail_flaming | melee | Dressad's Roaster | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_1h_mace | melee | Feeble Mace | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_dagger | melee | Tilean Paperweight | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_deus_01 | ranged | Enchanter's Coruscation Staff | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_flame_sword | melee | Apprentice's Flame-Sword | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_ghost_scythe | melee | Vysserik's Verdigrised Vanquisher | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_necromancy_staff | ranged | Clatterstaff | bw_necromancer
bw_skullstaff_beam | ranged | Sputtering Beam Staff | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_skullstaff_fireball | ranged | Sputtering Fireball Staff | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_skullstaff_flamethrower | ranged | Sputtering Flamewave Staff | bw_adept,bw_scholar,bw_unchained
bw_skullstaff_geiser | ranged | Sputtering Conflagration Staff | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_skullstaff_spear | ranged | Sputtering Bolt Staff | bw_adept,bw_necromancer,bw_scholar,bw_unchained
bw_sword | melee | Apprentice's Sword | bw_adept,bw_necromancer,bw_scholar,bw_unchained
dr_1h_axe | melee | Beardling's Az | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_1h_hammer | melee | Beardling's Grund | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_1h_throwing_axes | ranged | Beardling's Azdrek | dr_ranger,dr_slayer
dr_2h_axe | melee | Beardling's Az-Dreugi | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_2h_cog_hammer | melee | Beardling's Coggrund | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_2h_hammer | melee | Beardling's Grundreugi | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_2h_pick | melee | Beardling's Skrundaz | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_crossbow | ranged | Beardling's Drekmakaz | dr_ironbreaker,dr_ranger
dr_deus_01 | ranged | Debgrozthrund Trolldrengi | dr_engineer,dr_ironbreaker
dr_drake_pistol | ranged | Beardling's Drakktuk | dr_engineer,dr_ironbreaker
dr_drakegun | ranged | Beardling's Drakkthrund | dr_engineer,dr_ironbreaker
dr_dual_wield_axes | melee | Beardling's Tukaz | dr_slayer
dr_dual_wield_hammers | melee | Warrior's Tukgrund | dr_engineer,dr_ironbreaker,dr_ranger,dr_slayer
dr_handgun | ranged | Umgak Thrund | dr_engineer,dr_ironbreaker,dr_ranger
dr_rakegun | ranged | Beardling's Dammaz-Thrund | dr_engineer,dr_ironbreaker,dr_ranger
dr_shield_axe | melee | Umgak Karinaz | dr_engineer,dr_ironbreaker,dr_ranger
dr_shield_hammer | melee | Umgak Karingrund | dr_engineer,dr_ironbreaker,dr_ranger
dr_steam_pistol | ranged | Beardling's Thrundtak | dr_engineer,dr_ironbreaker,dr_ranger
es_1h_flail | melee | Adjudicator's Flail | wh_bountyhunter,wh_captain,wh_zealot
es_1h_mace | melee | Recruit's Mace | es_huntsman,es_knight,es_mercenary,es_questingknight
es_1h_sword | melee | Recruit's Longsword | es_huntsman,es_knight,es_mercenary,es_questingknight
es_2h_hammer | melee | Recruit's Warhammer | es_huntsman,es_knight,es_mercenary,es_questingknight
es_2h_heavy_spear | melee | Huntsman's Spear | es_huntsman,es_mercenary
es_2h_sword | melee | Recruit's Greatsword | es_huntsman,es_knight,es_mercenary,es_questingknight
es_2h_sword_executioner | melee | Recruit's Executioner | es_huntsman,es_knight,es_mercenary,es_questingknight
es_bastard_sword | melee | Gallant's Blade | es_huntsman,es_knight,es_mercenary,es_questingknight
es_blunderbuss | ranged | Soldier's Coach Gun | es_huntsman,es_knight,es_mercenary
